# classify occupation
# builds classes for occupations 
# classes and keywords are taken from
# https://github.com/datasciencedojo/DataMiningFEC/blob/master/6%20Bucketing%20Occupation%20Groups.R


CLASS;KEYWORDS
"CONSTRUCTION AND EXTRACTION";"WELDING","WELD","WOOD","CONSTRUCTION","CONTRACTOR","BUILDER","DEVELOPER","CARPENTER","ROOFER"
"PERSONAL CARE AND SERVICE";"ESTHETICIAN","NANNY","CLEANER","BARBER","COSMETOLOGIST","MORTICIAN","FLIGHT","ATTENDANT","HAIR","NAIL","STYLIST","HAIRDRESSER"
"HEALTHCARE PRACTITIONERS AND TECHNICAL";"PEDIATRICS","LPN","GASTROENTEROLOGY","PULMONOLOGIST","OPHTHAMOLOGIST","OPHTHALMOLOGY","OB-GYN","PSYCH","CLINICIAN","PSYCHIATRY","OBGYN","ANESTHESIOLOGY","NEONATOLOGIST","VET","DDS","PHARMACY","ANESTHETIST","PHARMACEUTICALS","NURSING","OB/GYN","GASTROENTEROLOGIST","OPTHALMOLOGIST","ENDODONTIST","PATHOLOGIST","PATHOLOGIST","PERIODONTIST","PHYSCIAN","ONCOLOGIST","OPTHAMOLOGIST","ANESTHETIST","NURSE","OPHTHALMOLOGIST","PHYSICAN","DOCTOR","DENTIST","PHYSICIAN","PHARMACIST","SURGEON","ANESTHESIOLOGIST","VETERINARIAN","MD","RN","PSYCHOTHERAPIST","ORTHODONTIST","CHIROPRACTOR","OPTOMETRIST","PEDIATRICIAN","CARDIOLOGIST","PSYCHIATRIST","GASTROENTEROLOGY","RADIOLOGY","UROLOGIST","R.N.","DERMATOLOGIST","PODIATRIST","M.D."
"EDUCATION, TRAINING, AND LIBRARY";"WELLNESS","INSTUCTOR","YOUTH","REAL ESTATE ADVISOR","ED","PARTNER","VOCATIONAL","COUNSELOR","COSULTANT","GUIDE","ADVISER","CONSUTLANT","UNIVERSITY","UNIV","COLLEGE","PHD"," PROF","TEACHING","HEADMASTER","PROFESOR","SCHOOL","SCHOLAR","PROFESSOR","INSTRUCTOR","ARCHIVIST","COACH","LIFE COACH","TUTOR","LECTURER","ACADEMIC","EDUCATION","TEACHER","TRAINER","PRINCIPAL","EDUCATOR","PROFESSOR","CONSULTANT","CONSULTING","LIBRARIAN","EDITOR","LECTURER","FACULTY","DEAN","ADVISOR","EDUCATION"
"LEGAL";"LEGISLATOR","LEGISLATIVE","BUREAUCRAT","COUNSEL","PUBLIC POLICY","GENERAL COUNSEL","JUSTICE","ATTORNEY","MAGISTRATE","ATTORMEY","LAYWER","ATTONEY","DEFENDER","COURT","ATTY","LEGAL","PARALEGAL","JUDGE","LAWYER","LOBBYIST","GOVERNMENT","LAW","INVESTIGATOR"
"BUILDING AND GROUNDS CLEANING AND MAINTENANCE";"HOTELS","HOUSING","LEASING","FREEHOLDER","HOUSEKEEPER","LANDSCAPE","GARDENER","LANDSCAPING","INNKEEPER","LANDLORD","LANDSCAPER"
"SALES AND RELATED";"REALTOR","DEALER","SALES","APPAREL","RE-SALE","BROKER","TRADER"
"BUSINESS AND FINANCIAL OPERATIONS";"OWNER","REAL ESTATE","REALTY","REAL-ESTATE","REALESTATE","REAL ESTATE","REAL ESTATE DEVELOPMENT","SUPPLY","BONDSMAN","MORTGAGE","MRKTNG","RETAIL","EXPORTER","BANK","E-COMMERCE","ECOMMERCE","LIASON","SELLER","MERCHANDISER","DISTRIBUTION","WHOLESALE","TRADING","PURCHASING","LENDER","FUND","C. P. A.","INVESTING","FUNDRAISING","ENTREPENEUR","INVESTER","ASSOCIATE","MARKETER","FINANCIER","WHOLESALER","ESTIMATOR","BUYER","SENIOR ASSOCIATE","BOOKSELLER","MERCHANT","ASSOCIATE","IMPORTER","DISTRIBUTOR","UNDERWRITING","FINANCE","FUNDRAISER","OPERATIONS","APPRAISER","MARKETING","BANKER","INSURANCE","INVESTOR","ACCOUNTANT","CPA","ANALYST","C.P.A","INVESTMENT","FINANCE","FINANCIAL","BUSINESSMAN","BUSINESSWOMAN","BANKING","BUSINESS DEVELOPMENT","ADVERTISING","TREASURER","INVESTMENTS","BUSINESS","VENTURE","CAPITALIST","INVESTMENT","SHAREHOLDER","BUSINESS OPERATIONS"
"ARCHITECTURE AND ENGINEERING";"ENGR","AEROSPACE","LAND SURVEYOR","ENGINEER","ARCHITECT"
"RETIRED";"VETRAN","RETIRED","RETIREE","WWII VET","VETREN","RET"
